"Site","Season","Species","Total_Calls","Vegetation_percentage","Tar_road_percentage","Mean_lux","Built_up_percentage","Moon_percentage","Lux_cat_5","Lux_cat_1","Builtup_cat"
"MITH7","winter","PITE",76,0,21.67,15.26,44.51,98,"High","High","built-up"
"MITH7","winter","Taph.",0,0,21.67,15.26,44.51,98,"High","High","built-up"
"MITH7","winter","Tad.aeg/Mop.plic",0,0,21.67,15.26,44.51,98,"High","High","built-up"
"PANO1","non-winter","PICE",0,0,0,69.33,100,98.4,"High","High","built-up"
"PANO1","non-winter","PITE",5,0,0,69.33,100,98.4,"High","High","built-up"
"PANO1","non-winter","Taph.",2,0,0,69.33,100,98.4,"High","High","built-up"
"PANO1","non-winter","Tad.aeg/Mop.plic",8,0,0,69.33,100,98.4,"High","High","built-up"
"PANO1","winter","PICE",0,0,0,55.4,100,99.9,"High","High","built-up"
"PANO1","winter","PITE",1,0,0,55.4,100,99.9,"High","High","built-up"
"PANO1","winter","Taph.",0,0,0,55.4,100,99.9,"High","High","built-up"
"PANO1","winter","Tad.aeg/Mop.plic",0,0,0,55.4,100,99.9,"High","High","built-up"
"PANO2","non-winter","PICE",2,25,0,1,75,98.4,"Low","High","built-up"
"PANO2","non-winter","PITE",18,25,0,1,75,98.4,"Low","High","built-up"
"PANO2","non-winter","Taph.",3,25,0,1,75,98.4,"Low","High","built-up"
"PANO2","non-winter","Tad.aeg/Mop.plic",0,25,0,1,75,98.4,"Low","High","built-up"
"PANO2","winter","PICE",0,25,0,3.73,75,99.9,"Low","High","built-up"
"PANO2","winter","PITE",414,25,0,3.73,75,99.9,"Low","High","built-up"
"PANO2","winter","Taph.",0,25,0,3.73,75,99.9,"Low","High","built-up"
"PANO2","winter","Tad.aeg/Mop.plic",0,25,0,3.73,75,99.9,"Low","High","built-up"
"PANO3","non-winter","PICE",6,0,68,14,32,7.1,"High","High","built-up"
"PANO3","non-winter","PITE",103,0,68,14,32,7.1,"High","High","built-up"
"PANO3","non-winter","Taph.",127,0,68,14,32,7.1,"High","High","built-up"
"PANO3","non-winter","Tad.aeg/Mop.plic",1,0,68,14,32,7.1,"High","High","built-up"
"PANO3","winter","PICE",2,0,68,44,32,14.8,"High","High","built-up"
"PANO3","winter","PITE",2,0,68,44,32,14.8,"High","High","built-up"
"PANO3","winter","Taph.",1,0,68,44,32,14.8,"High","High","built-up"
